index,mean,std
pers_00m,0.6989147901090444,0.015981340175369077
pers_30m,0.658555018239338,0.012232105420276078
linreg_8f,0.6151023107672885,0.017650695302041247
forest_8f,0.684662029372404,0.013639860175950745
extrees_8f,0.6933963837056882,0.013633896004789795
knn_8f,0.6811171264230758,0.01446310291613992
linreg_4f,0.6078974142768532,0.015723706322224192
forest_4f,0.6545640232465527,0.007692108430746955
extrees_4f,0.654908145000635,0.008983154241225163
knn_4f,0.651538424358757,0.00667904443015488
